Table,Variable,Type,Label
VEOO2P,status_y5_nonemp,Num,Status Flag: Count of non-employed veterans in year 5
VEOO2P,y10_emp,Num,Count of employed veterans in year 10
VEOO2P,y10_nonemp,Num,Count of non-employed veterans in year 10
VEOO2P,y10_p25_earnings,Num,Earnings 25th Percentile in year 10 (2018 Dollars)
VEOO2P,y10_p50_earnings,Num,Earnings 50th Percentile in year 10 (2018 Dollars)
VEOO2P,y10_p75_earnings,Num,Earnings 75th Percentile in year 10 (2018 Dollars)
VEOO2P,y1_emp,Num,Count of employed veterans in year 1
VEOO2P,y1_nonemp,Num,Count of non-employed veterans in year 1
VEOO2P,y1_p25_earnings,Num,Earnings 25th Percentile in year 1 (2018 Dollars)
VEOO2P,y1_p50_earnings,Num,Earnings 50th Percentile in year 1 (2018 Dollars)
VEOO2P,y1_p75_earnings,Num,Earnings 75th Percentile in year 1 (2018 Dollars)
VEOO2P,y5_emp,Num,Count of employed veterans in year 5
VEOO2P,y5_nonemp,Num,Count of non-employed veterans in year 5
VEOO2P,y5_p25_earnings,Num,Earnings 25th Percentile in year 5 (2018 Dollars)
VEOO2P,y5_p50_earnings,Num,Earnings 50th Percentile in year 5 (2018 Dollars)
VEOO2P,y5_p75_earnings,Num,Earnings 75th Percentile in year 5 (2018 Dollars)
VEOO3,cohort,Char(4),First year of cohort
VEOO3,cohort_years,Num,Number of years in cohort
VEOO3,dod_occ_code,Char(3),Group: DOD occupation code
VEOO3,dod_occ_code_level,Char(1),Group: DOD occupation code level of aggregation
VEOO3,status_y10_earn,Num,Status Flag: Earnings in year 10
VEOO3,status_y10_emp,Num,Status Flag: Count of employed veterans in year 10
VEOO3,status_y10_nonemp,Num,Status Flag: Count of non-employed veterans in year 10
VEOO3,status_y1_earn,Num,Status Flag: Earnings in year 1
VEOO3,status_y1_emp,Num,Status Flag: Count of employed veterans in year 1
VEOO3,status_y1_nonemp,Num,Status Flag: Count of non-employed veterans in year 1
VEOO3,status_y5_earn,Num,Status Flag: Earnings in year 5
VEOO3,status_y5_emp,Num,Status Flag: Count of employed veterans in year 5
VEOO3,status_y5_nonemp,Num,Status Flag: Count of non-employed veterans in year 5
VEOO3,y10_emp,Num,Count of employed veterans in year 10
VEOO3,y10_nonemp,Num,Count of non-employed veterans in year 10
VEOO3,y10_p25_earnings,Num,Earnings 25th Percentile in year 10 (2018 Dollars)
VEOO3,y10_p50_earnings,Num,Earnings 50th Percentile in year 10 (2018 Dollars)
VEOO3,y10_p75_earnings,Num,Earnings 75th Percentile in year 10 (2018 Dollars)
VEOO3,y1_emp,Num,Count of employed veterans in year 1
VEOO3,y1_nonemp,Num,Count of non-employed veterans in year 1
VEOO3,y1_p25_earnings,Num,Earnings 25th Percentile in year 1 (2018 Dollars)
VEOO3,y1_p50_earnings,Num,Earnings 50th Percentile in year 1 (2018 Dollars)
VEOO3,y1_p75_earnings,Num,Earnings 75th Percentile in year 1 (2018 Dollars)
VEOO3,y5_emp,Num,Count of employed veterans in year 5
VEOO3,y5_nonemp,Num,Count of non-employed veterans in year 5
VEOO3,y5_p25_earnings,Num,Earnings 25th Percentile in year 5 (2018 Dollars)
VEOO3,y5_p50_earnings,Num,Earnings 50th Percentile in year 5 (2018 Dollars)
VEOO3,y5_p75_earnings,Num,Earnings 75th Percentile in year 5 (2018 Dollars)
VEOP,cohort,Char(4),First year of cohort
VEOP,cohort_years,Num,Number of years in cohort
VEOP,paygrade,Char(5),Group: Paygrade
VEOP,paygrade_level,Char(1),Group: Paygrade level of aggregation
VEOP,status_y10_earn,Num,Status Flag: Earnings in year 10
VEOP,status_y10_emp,Num,Status Flag: Count of employed veterans in year 10
VEOP,status_y10_nonemp,Num,Status Flag: Count of non-employed veterans in year 10
VEOP,status_y1_earn,Num,Status Flag: Earnings in year 1
VEOP,status_y1_emp,Num,Status Flag: Count of employed veterans in year 1
VEOP,status_y1_nonemp,Num,Status Flag: Count of non-employed veterans in year 1
VEOP,status_y5_earn,Num,Status Flag: Earnings in year 5
VEOP,status_y5_emp,Num,Status Flag: Count of employed veterans in year 5
VEOP,status_y5_nonemp,Num,Status Flag: Count of non-employed veterans in year 5
VEOP,y10_emp,Num,Count of employed veterans in year 10
VEOP,y10_nonemp,Num,Count of non-employed veterans in year 10
VEOP,y10_p25_earnings,Num,Earnings 25th Percentile in year 10 (2018 Dollars)
VEOP,y10_p50_earnings,Num,Earnings 50th Percentile in year 10 (2018 Dollars)
VEOP,y10_p75_earnings,Num,Earnings 75th Percentile in year 10 (2018 Dollars)
VEOP,y1_emp,Num,Count of employed veterans in year 1
VEOP,y1_nonemp,Num,Count of non-employed veterans in year 1
VEOP,y1_p25_earnings,Num,Earnings 25th Percentile in year 1 (2018 Dollars)
VEOP,y1_p50_earnings,Num,Earnings 50th Percentile in year 1 (2018 Dollars)
VEOP,y1_p75_earnings,Num,Earnings 75th Percentile in year 1 (2018 Dollars)
VEOP,y5_emp,Num,Count of employed veterans in year 5
VEOP,y5_nonemp,Num,Count of non-employed veterans in year 5
VEOP,y5_p25_earnings,Num,Earnings 25th Percentile in year 5 (2018 Dollars)
VEOP,y5_p50_earnings,Num,Earnings 50th Percentile in year 5 (2018 Dollars)
VEOP,y5_p75_earnings,Num,Earnings 75th Percentile in year 5 (2018 Dollars)
VEORH,cohort,Char(4),First year of cohort
VEORH,cohort_years,Num,Number of years in cohort
VEORH,ethnicity,Char(2),Group: Ethnicity
VEORH,race,Char(3),Group: Race
VEORH,status_y10_earn,Num,Status Flag: Earnings in year 10
VEORH,status_y10_emp,Num,Status Flag: Count of employed veterans in year 10
VEORH,status_y10_nonemp,Num,Status Flag: Count of non-employed veterans in year 10
VEORH,status_y1_earn,Num,Status Flag: Earnings in year 1
VEORH,status_y1_emp,Num,Status Flag: Count of employed veterans in year 1
VEORH,status_y1_nonemp,Num,Status Flag: Count of non-employed veterans in year 1
VEORH,status_y5_earn,Num,Status Flag: Earnings in year 5
VEORH,status_y5_emp,Num,Status Flag: Count of employed veterans in year 5
VEORH,status_y5_nonemp,Num,Status Flag: Count of non-employed veterans in year 5
VEORH,y10_emp,Num,Count of employed veterans in year 10
VEORH,y10_nonemp,Num,Count of non-employed veterans in year 10
VEORH,y10_p25_earnings,Num,Earnings 25th Percentile in year 10 (2018 Dollars)
VEORH,y10_p50_earnings,Num,Earnings 50th Percentile in year 10 (2018 Dollars)
VEORH,y10_p75_earnings,Num,Earnings 75th Percentile in year 10 (2018 Dollars)
VEORH,y1_emp,Num,Count of employed veterans in year 1
VEORH,y1_nonemp,Num,Count of non-employed veterans in year 1
VEORH,y1_p25_earnings,Num,Earnings 25th Percentile in year 1 (2018 Dollars)
VEORH,y1_p50_earnings,Num,Earnings 50th Percentile in year 1 (2018 Dollars)
VEORH,y1_p75_earnings,Num,Earnings 75th Percentile in year 1 (2018 Dollars)
VEORH,y5_emp,Num,Count of employed veterans in year 5
VEORH,y5_nonemp,Num,Count of non-employed veterans in year 5
VEORH,y5_p25_earnings,Num,Earnings 25th Percentile in year 5 (2018 Dollars)
VEORH,y5_p50_earnings,Num,Earnings 50th Percentile in year 5 (2018 Dollars)
VEORH,y5_p75_earnings,Num,Earnings 75th Percentile in year 5 (2018 Dollars)
VEOS,cohort,Char(4),First year of cohort
VEOS,cohort_years,Num,Number of years in cohort
VEOS,sex,Char(1),Group: Sex
VEOS,status_y10_earn,Num,Status Flag: Earnings in year 10
VEOS,status_y10_emp,Num,Status Flag: Count of employed veterans in year 10
VEOS,status_y10_nonemp,Num,Status Flag: Count of non-employed veterans in year 10
VEOS,status_y1_earn,Num,Status Flag: Earnings in year 1
VEOS,status_y1_emp,Num,Status Flag: Count of employed veterans in year 1
VEOS,status_y1_nonemp,Num,Status Flag: Count of non-employed veterans in year 1
VEOS,status_y5_earn,Num,Status Flag: Earnings in year 5
VEOS,status_y5_emp,Num,Status Flag: Count of employed veterans in year 5
VEOS,status_y5_nonemp,Num,Status Flag: Count of non-employed veterans in year 5
VEOS,y10_emp,Num,Count of employed veterans in year 10
VEOS,y10_nonemp,Num,Count of non-employed veterans in year 10
VEOS,y10_p25_earnings,Num,Earnings 25th Percentile in year 10 (2018 Dollars)
VEOS,y10_p50_earnings,Num,Earnings 50th Percentile in year 10 (2018 Dollars)
VEOS,y10_p75_earnings,Num,Earnings 75th Percentile in year 10 (2018 Dollars)
VEOS,y1_emp,Num,Count of employed veterans in year 1
VEOS,y1_nonemp,Num,Count of non-employed veterans in year 1
VEOS,y1_p25_earnings,Num,Earnings 25th Percentile in year 1 (2018 Dollars)
VEOS,y1_p50_earnings,Num,Earnings 50th Percentile in year 1 (2018 Dollars)
VEOS,y1_p75_earnings,Num,Earnings 75th Percentile in year 1 (2018 Dollars)
VEOS,y5_emp,Num,Count of employed veterans in year 5
VEOS,y5_nonemp,Num,Count of non-employed veterans in year 5
VEOS,y5_p25_earnings,Num,Earnings 25th Percentile in year 5 (2018 Dollars)
VEOS,y5_p50_earnings,Num,Earnings 50th Percentile in year 5 (2018 Dollars)
VEOS,y5_p75_earnings,Num,Earnings 75th Percentile in year 5 (2018 Dollars)
VEOT,afqtgrp,Char(2),Group: AFQT tercile
VEOT,cohort,Char(4),First year of cohort
VEOT,cohort_years,Num,Number of years in cohort
VEOT,status_y10_earn,Num,Status Flag: Earnings in year 10
VEOT,status_y10_emp,Num,Status Flag: Count of employed veterans in year 10
VEOT,status_y10_nonemp,Num,Status Flag: Count of non-employed veterans in year 10
VEOT,status_y1_earn,Num,Status Flag: Earnings in year 1
VEOT,status_y1_emp,Num,Status Flag: Count of employed veterans in year 1
VEOT,status_y1_nonemp,Num,Status Flag: Count of non-employed veterans in year 1
VEOT,status_y5_earn,Num,Status Flag: Earnings in year 5
VEOT,status_y5_emp,Num,Status Flag: Count of employed veterans in year 5
VEOT,status_y5_nonemp,Num,Status Flag: Count of non-employed veterans in year 5
VEOT,y10_emp,Num,Count of employed veterans in year 10
VEOT,y10_nonemp,Num,Count of non-employed veterans in year 10
VEOT,y10_p25_earnings,Num,Earnings 25th Percentile in year 10 (2018 Dollars)
VEOT,y10_p50_earnings,Num,Earnings 50th Percentile in year 10 (2018 Dollars)
VEOT,y10_p75_earnings,Num,Earnings 75th Percentile in year 10 (2018 Dollars)
VEOT,y1_emp,Num,Count of employed veterans in year 1
VEOT,y1_nonemp,Num,Count of non-employed veterans in year 1
VEOT,y1_p25_earnings,Num,Earnings 25th Percentile in year 1 (2018 Dollars)
VEOT,y1_p50_earnings,Num,Earnings 50th Percentile in year 1 (2018 Dollars)
VEOT,y1_p75_earnings,Num,Earnings 75th Percentile in year 1 (2018 Dollars)
VEOT,y5_emp,Num,Count of employed veterans in year 5
VEOT,y5_nonemp,Num,Count of non-employed veterans in year 5
VEOT,y5_p25_earnings,Num,Earnings 25th Percentile in year 5 (2018 Dollars)
VEOT,y5_p50_earnings,Num,Earnings 50th Percentile in year 5 (2018 Dollars)
VEOT,y5_p75_earnings,Num,Earnings 75th Percentile in year 5 (2018 Dollars)
VEOX,cohort,Char(4),First year of cohort
VEOX,cohort_years,Num,Number of years in cohort
VEOX,status_y10_earn,Num,Status Flag: Earnings in year 10
VEOX,status_y10_emp,Num,Status Flag: Count of employed veterans in year 10
VEOX,status_y10_nonemp,Num,Status Flag: Count of non-employed veterans in year 10
VEOX,status_y1_earn,Num,Status Flag: Earnings in year 1
VEOX,status_y1_emp,Num,Status Flag: Count of employed veterans in year 1
VEOX,status_y1_nonemp,Num,Status Flag: Count of non-employed veterans in year 1
VEOX,status_y5_earn,Num,Status Flag: Earnings in year 5
VEOX,status_y5_emp,Num,Status Flag: Count of employed veterans in year 5
VEOX,status_y5_nonemp,Num,Status Flag: Count of non-employed veterans in year 5
VEOX,y10_emp,Num,Count of employed veterans in year 10
VEOX,y10_nonemp,Num,Count of non-employed veterans in year 10
VEOX,y10_p25_earnings,Num,Earnings 25th Percentile in year 10 (2018 Dollars)
VEOX,y10_p50_earnings,Num,Earnings 50th Percentile in year 10 (2018 Dollars)
VEOX,y10_p75_earnings,Num,Earnings 75th Percentile in year 10 (2018 Dollars)
VEOX,y1_emp,Num,Count of employed veterans in year 1
VEOX,y1_nonemp,Num,Count of non-employed veterans in year 1
VEOX,y1_p25_earnings,Num,Earnings 25th Percentile in year 1 (2018 Dollars)
VEOX,y1_p50_earnings,Num,Earnings 50th Percentile in year 1 (2018 Dollars)
VEOX,y1_p75_earnings,Num,Earnings 75th Percentile in year 1 (2018 Dollars)
VEOX,y5_emp,Num,Count of employed veterans in year 5
VEOX,y5_nonemp,Num,Count of non-employed veterans in year 5
VEOX,y5_p25_earnings,Num,Earnings 25th Percentile in year 5 (2018 Dollars)
VEOX,y5_p50_earnings,Num,Earnings 50th Percentile in year 5 (2018 Dollars)
VEOX,y5_p75_earnings,Num,Earnings 75th Percentile in year 5 (2018 Dollars)
VEOX,yosgrp,Char(2),Group: Years of service
